Cargo_ID,Order_ID,Length_cm,Width_cm,Height_cm,Weight_kg,Category,Fragile,Destination_Zone,Priority,Stackable,Sorting_Sequence,Robotic_Pick_Position_X,Robotic_Pick_Position_Y,Robotic_Pick_Position_Z
CARGO_0106,ORDER_659,60.1,38.6,17.1,79.03,Home_Appliances,False,Zone_D,3,False,77,48.7,7.0,2.1
CARGO_0107,ORDER_635,57.7,42.4,42.7,244.52,Home_Appliances,False,Zone_C,5,False,43,27.6,24.7,3.8
CARGO_0108,ORDER_917,71.7,58.7,12.8,97.83,Home_Appliances,False,Zone_D,5,False,49,25.3,37.2,2.8
CARGO_0109,ORDER_211,22.2,8.0,4.3,1.76,Clothing,False,Zone_D,5,True,15,42.5,23.4,0.6
CARGO_0110,ORDER_764,27.1,36.0,12.2,24.63,Electronics,False,Zone_D,1,True,86,12.4,10.0,9.1
CARGO_0111,ORDER_422,21.1,55.6,40.5,92.29,Home_Appliances,False,Zone_A,1,False,37,2.2,24.8,9.6
CARGO_0112,ORDER_802,44.4,22.3,28.8,65.18,Sports,False,Zone_A,2,False,74,2.0,47.9,2.0
CARGO_0113,ORDER_131,20.1,53.3,35.5,71.7,Home_Appliances,False,Zone_D,1,False,66,6.0,24.8,9.9
CARGO_0114,ORDER_1038,34.7,13.9,27.5,28.66,Sports,False,Zone_B,4,True,42,40.8,5.0,7.9
CARGO_0115,ORDER_624,51.2,39.6,24.7,81.27,Sports,False,Zone_C,3,False,71,16.7,31.3,6.0
CARGO_0116,ORDER_935,26.7,33.2,14.0,27.45,Electronics,True,Zone_C,3,False,76,10.3,10.4,5.8
CARGO_0117,ORDER_107,11.9,27.7,26.3,19.79,Sports,False,Zone_D,3,True,34,38.4,21.8,8.9
CARGO_0118,ORDER_751,12.9,2.8,7.7,0.48,Beauty,True,Zone_D,4,False,42,25.6,9.7,6.5
CARGO_0119,ORDER_803,6.4,5.9,6.3,0.42,Beauty,True,Zone_D,2,False,19,30.5,10.7,4.7
CARGO_0120,ORDER_892,28.4,11.9,14.3,8.97,Electronics,True,Zone_D,5,False,1,13.9,5.9,2.6
CARGO_0121,ORDER_694,68.7,36.5,41.2,191.44,Home_Appliances,False,Zone_C,4,False,88,36.4,46.6,8.0
CARGO_0122,ORDER_39,20.2,18.7,4.6,3.57,Books,False,Zone_D,1,True,15,34.4,15.6,1.5
CARGO_0123,ORDER_379,21.0,24.2,25.4,23.14,Home_Appliances,False,Zone_A,1,True,65,43.5,12.1,7.3
CARGO_0124,ORDER_1085,55.7,19.5,14.5,32.98,Sports,False,Zone_A,3,True,27,4.1,6.0,0.6
CARGO_0125,ORDER_1071,12.4,9.6,4.1,0.87,Beauty,True,Zone_D,1,False,6,31.3,48.6,2.7
CARGO_0126,ORDER_231,14.5,31.3,12.6,9.39,Toys,False,Zone_C,5,True,24,17.0,49.2,7.0
CARGO_0127,ORDER_844,10.3,7.0,7.1,0.9,Clothing,False,Zone_B,3,True,11,23.4,9.3,5.1
CARGO_0128,ORDER_264,16.8,5.0,11.6,2.12,Toys,False,Zone_A,3,True,81,22.5,23.3,3.9
CARGO_0129,ORDER_27,22.5,12.2,3.6,1.86,Books,False,Zone_B,3,True,29,30.7,37.4,7.7
CARGO_0130,ORDER_344,5.3,12.0,4.0,0.51,Clothing,False,Zone_A,4,True,31,18.6,12.4,3.5
CARGO_0131,ORDER_688,27.6,8.0,17.3,8.3,Sports,False,Zone_D,2,True,79,37.6,10.3,3.3
CARGO_0132,ORDER_568,38.0,17.2,19.0,27.69,Toys,False,Zone_C,3,True,84,34.2,17.5,8.6
CARGO_0133,ORDER_213,54.2,13.1,2.4,3.93,Sports,False,Zone_D,3,True,1,32.2,8.9,0.8
CARGO_0134,ORDER_594,18.3,21.1,10.0,7.31,Clothing,False,Zone_C,2,True,91,29.6,23.3,6.8
CARGO_0135,ORDER_1194,22.9,20.8,2.5,2.16,Books,False,Zone_B,4,True,71,41.4,49.2,6.9
CARGO_0136,ORDER_1000,13.2,20.0,6.2,3.61,Toys,False,Zone_B,1,True,23,7.6,32.6,4.1
CARGO_0137,ORDER_66,37.9,21.4,9.1,15.12,Clothing,False,Zone_B,4,True,76,20.8,7.8,7.6
CARGO_0138,ORDER_378,10.3,6.1,8.3,1.05,Beauty,True,Zone_B,5,False,38,21.3,33.4,4.1
CARGO_0139,ORDER_146,25.3,15.0,19.9,17.3,Electronics,True,Zone_B,2,False,95,41.9,14.5,0.2
CARGO_0140,ORDER_116,12.9,25.2,5.4,3.36,Toys,False,Zone_A,3,True,54,30.6,28.0,4.3
CARGO_0141,ORDER_239,21.9,25.4,17.7,22.9,Electronics,True,Zone_D,2,False,10,39.3,33.3,6.2
CARGO_0142,ORDER_981,6.5,3.2,8.4,0.29,Beauty,True,Zone_D,2,False,64,48.1,20.1,4.1
CARGO_0143,ORDER_856,38.0,15.0,9.1,8.81,Clothing,False,Zone_B,3,True,94,37.1,29.0,6.5
CARGO_0144,ORDER_918,48.7,27.2,47.4,148.36,Home_Appliances,False,Zone_B,4,False,64,9.8,15.9,4.5
CARGO_0145,ORDER_117,18.8,20.9,3.6,2.63,Books,False,Zone_A,4,True,39,43.8,14.7,8.8
CARGO_0146,ORDER_451,7.1,25.5,19.9,6.61,Toys,False,Zone_A,3,True,100,32.0,46.2,2.8
CARGO_0147,ORDER_420,30.2,30.0,16.0,30.69,Home_Appliances,False,Zone_C,4,True,81,9.6,39.2,3.8
CARGO_0148,ORDER_977,24.2,25.3,3.1,3.08,Clothing,False,Zone_B,4,True,91,24.0,0.6,5.2
CARGO_0149,ORDER_4,19.1,8.9,26.0,8.83,Sports,False,Zone_C,3,True,74,17.9,13.7,3.0
CARGO_0150,ORDER_123,24.1,8.3,3.2,1.19,Toys,False,Zone_A,2,True,39,36.7,9.0,1.6
CARGO_0151,ORDER_784,13.9,5.9,8.7,1.4,Beauty,False,Zone_A,2,True,47,27.1,7.0,2.1
CARGO_0152,ORDER_630,12.3,38.6,17.6,15.07,Electronics,True,Zone_B,2,False,97,45.4,27.1,3.5
CARGO_0153,ORDER_76,24.5,15.6,7.0,5.43,Clothing,False,Zone_D,4,True,99,14.4,30.5,4.3
CARGO_0154,ORDER_769,19.8,15.2,18.2,10.41,Toys,False,Zone_D,3,True,21,16.2,0.2,9.0
CARGO_0155,ORDER_634,79.6,48.7,16.0,112.0,Home_Appliances,False,Zone_B,5,False,13,32.8,42.7,2.8
CARGO_0156,ORDER_701,28.6,20.3,2.2,2.41,Books,False,Zone_A,2,True,29,4.3,45.3,6.0
CARGO_0157,ORDER_1180,38.7,22.4,7.8,12.14,Clothing,False,Zone_C,4,True,35,6.5,5.5,5.1
CARGO_0158,ORDER_335,13.3,23.0,3.2,1.59,Books,False,Zone_D,1,True,88,40.6,20.3,1.0
CARGO_0159,ORDER_578,19.0,14.4,4.9,2.49,Clothing,False,Zone_C,3,True,64,33.4,19.1,1.8
CARGO_0160,ORDER_314,29.4,15.0,3.5,2.84,Books,False,Zone_C,1,True,93,49.6,19.6,6.2
CARGO_0161,ORDER_621,37.7,32.3,10.8,28.28,Electronics,True,Zone_D,3,False,4,28.7,28.9,9.6
CARGO_0162,ORDER_1182,6.4,14.2,4.4,0.87,Beauty,False,Zone_A,2,True,73,5.2,10.7,9.5
CARGO_0163,ORDER_418,24.0,38.9,16.2,26.83,Sports,False,Zone_B,5,True,77,23.7,0.8,9.0
CARGO_0164,ORDER_1189,25.5,24.9,3.2,3.27,Books,False,Zone_A,5,True,43,33.5,43.7,0.5
CARGO_0165,ORDER_730,11.3,32.4,4.1,2.95,Electronics,True,Zone_D,3,False,17,24.6,46.7,8.4
CARGO_0166,ORDER_771,31.1,21.2,7.5,9.39,Electronics,True,Zone_B,5,False,47,39.9,3.7,9.8
CARGO_0167,ORDER_391,30.5,7.7,4.7,2.53,Clothing,False,Zone_A,5,True,6,35.9,36.1,4.3
CARGO_0168,ORDER_467,13.4,9.0,25.1,4.99,Sports,False,Zone_A,3,True,69,18.2,39.6,5.5
CARGO_0169,ORDER_411,65.2,55.5,28.2,237.57,Home_Appliances,False,Zone_B,5,False,55,7.1,18.0,4.0
CARGO_0170,ORDER_116,69.5,34.5,41.3,234.09,Home_Appliances,False,Zone_C,4,False,82,9.7,46.1,1.5
CARGO_0171,ORDER_572,15.6,34.0,12.0,10.33,Electronics,False,Zone_B,2,True,2,14.2,14.6,5.5
CARGO_0172,ORDER_451,16.5,8.3,4.3,1.05,Clothing,False,Zone_B,4,True,85,6.3,19.3,5.9
CARGO_0173,ORDER_919,15.5,5.0,10.1,1.51,Toys,False,Zone_D,3,True,73,17.9,37.6,9.2
CARGO_0174,ORDER_314,21.2,19.5,3.9,2.95,Books,False,Zone_B,3,True,65,17.5,21.2,3.8
CARGO_0175,ORDER_257,28.3,7.8,7.7,4.04,Clothing,False,Zone_D,2,True,92,31.7,13.6,9.5
CARGO_0176,ORDER_209,30.9,7.2,6.9,2.88,Clothing,False,Zone_B,2,True,93,33.9,11.9,6.5
CARGO_0177,ORDER_1183,37.4,5.2,6.9,3.07,Toys,False,Zone_D,3,True,7,12.6,11.4,4.7
CARGO_0178,ORDER_1003,42.4,17.6,3.6,5.85,Electronics,True,Zone_D,2,False,46,29.1,19.6,7.8
CARGO_0179,ORDER_258,29.0,9.1,20.5,12.73,Sports,False,Zone_B,4,True,21,31.0,13.4,2.3
CARGO_0180,ORDER_509,29.5,15.1,13.3,11.06,Toys,False,Zone_D,5,True,13,5.1,41.3,5.7
CARGO_0181,ORDER_257,14.8,12.9,1.8,0.79,Books,False,Zone_C,3,True,11,5.3,33.1,2.8
CARGO_0182,ORDER_1089,26.5,25.4,8.7,12.76,Clothing,False,Zone_A,2,True,60,2.2,27.6,0.7
CARGO_0183,ORDER_275,20.0,30.7,8.1,11.7,Sports,False,Zone_D,1,True,86,21.8,41.9,9.1
CARGO_0184,ORDER_723,19.9,12.2,1.5,0.69,Books,False,Zone_A,4,True,5,42.8,37.8,9.6
CARGO_0185,ORDER_804,22.0,31.0,18.2,27.14,Electronics,True,Zone_B,1,False,1,2.4,3.1,0.4
CARGO_0186,ORDER_479,20.5,22.4,17.9,14.0,Sports,False,Zone_A,5,True,29,4.7,33.6,4.3
CARGO_0187,ORDER_386,12.2,10.0,2.7,0.56,Beauty,False,Zone_D,5,True,26,16.2,40.8,8.3
CARGO_0188,ORDER_856,16.5,10.1,8.3,3.07,Beauty,True,Zone_D,3,False,37,8.0,15.0,6.5
CARGO_0189,ORDER_254,12.0,29.9,7.4,4.27,Clothing,False,Zone_D,4,True,61,18.7,8.9,2.6
CARGO_0190,ORDER_697,11.6,24.0,16.1,8.65,Electronics,False,Zone_C,2,True,26,14.9,14.5,4.5
CARGO_0191,ORDER_244,2.9,5.1,9.4,0.29,Beauty,False,Zone_D,4,True,36,15.5,32.2,5.3
CARGO_0192,ORDER_301,11.5,13.5,1.8,0.54,Books,False,Zone_C,4,True,49,32.2,11.4,7.4
CARGO_0193,ORDER_337,27.1,21.4,1.4,1.49,Books,False,Zone_B,3,True,6,35.4,0.5,1.7
CARGO_0194,ORDER_1177,32.1,33.9,8.3,16.5,Electronics,True,Zone_D,1,False,6,27.9,8.7,4.4
CARGO_0195,ORDER_1003,38.6,7.6,9.4,6.09,Electronics,True,Zone_C,1,False,7,27.5,31.2,1.3
CARGO_0196,ORDER_1088,12.0,9.7,10.0,1.95,Beauty,True,Zone_C,1,False,14,6.5,11.0,6.7
CARGO_0197,ORDER_1145,15.4,3.7,7.2,0.83,Beauty,True,Zone_A,2,False,37,33.5,28.5,5.9
CARGO_0198,ORDER_870,48.1,13.2,8.8,13.3,Sports,False,Zone_A,4,True,99,35.5,28.4,0.7
CARGO_0199,ORDER_620,14.8,24.3,7.6,5.63,Clothing,False,Zone_B,1,True,77,5.2,35.8,8.0
CARGO_0200,ORDER_228,8.5,23.4,9.9,3.81,Clothing,False,Zone_A,4,True,86,32.7,36.5,5.4
CARGO_0201,ORDER_871,51.9,23.2,31.3,62.27,Home_Appliances,False,Zone_B,3,False,35,40.6,13.5,2.5
CARGO_0202,ORDER_737,30.9,25.5,1.2,2.22,Clothing,False,Zone_C,1,True,17,11.5,42.4,7.0
CARGO_0203,ORDER_12,15.8,13.0,9.4,4.61,Beauty,True,Zone_D,3,False,14,14.4,9.9,4.7
CARGO_0204,ORDER_526,25.5,24.8,15.9,16.41,Toys,False,Zone_B,3,True,42,17.8,12.6,2.2
CARGO_0205,ORDER_395,28.1,24.3,30.1,34.19,Home_Appliances,False,Zone_A,3,False,100,20.8,28.1,7.8
CARGO_0206,ORDER_344,29.9,16.7,3.4,2.95,Books,False,Zone_D,4,True,73,6.6,25.8,1.1
CARGO_0207,ORDER_64,9.6,9.8,2.3,0.45,Beauty,True,Zone_D,4,False,49,50.0,32.2,5.0
CARGO_0208,ORDER_85,42.8,30.8,21.5,65.93,Home_Appliances,False,Zone_D,2,False,54,22.9,10.9,1.2
CARGO_0209,ORDER_890,13.9,18.3,4.0,2.04,Books,False,Zone_C,5,True,80,32.9,30.7,2.2
CARGO_0210,ORDER_291,35.4,33.0,4.2,8.25,Toys,False,Zone_D,5,True,76,1.5,38.6,8.2
CARGO_0211,ORDER_630,50.0,33.3,32.2,101.73,Home_Appliances,False,Zone_D,4,False,65,21.4,39.9,6.0
CARGO_0212,ORDER_364,6.0,22.2,14.5,3.31,Toys,False,Zone_C,2,True,80,43.4,19.2,5.6
CARGO_0213,ORDER_124,11.8,4.5,3.6,0.41,Beauty,True,Zone_B,4,False,73,4.9,15.1,6.3
CARGO_0214,ORDER_1122,27.8,27.6,14.5,19.79,Electronics,False,Zone_C,4,True,89,13.2,23.4,9.5
CARGO_0215,ORDER_380,23.1,13.3,14.3,7.9,Electronics,False,Zone_C,2,True,79,19.2,46.2,3.7
CARGO_0216,ORDER_133,7.7,17.4,4.0,1.06,Toys,False,Zone_D,1,True,19,20.8,9.5,0.6
CARGO_0217,ORDER_402,26.9,17.2,6.0,5.14,Toys,False,Zone_B,3,True,66,39.8,9.3,8.2
CARGO_0218,ORDER_430,23.3,30.9,13.0,22.3,Toys,False,Zone_A,1,True,27,20.5,2.8,7.1
CARGO_0219,ORDER_936,26.7,23.2,3.3,4.58,Books,False,Zone_B,5,True,59,47.3,37.6,2.5
CARGO_0220,ORDER_267,8.8,14.7,10.0,2.5,Clothing,False,Zone_A,4,True,58,18.2,46.0,1.7
CARGO_0221,ORDER_78,33.2,20.6,9.1,14.19,Clothing,False,Zone_D,4,True,75,3.9,21.5,1.2
